study_ID,GEO_platform_ID,channel_count
GSE32646,GPL570,1
GSE2034,GPL96,1
GSE22226,GPL1708,2
GSE22226,GPL4133,2
GSE12071,GPL5186,2
GSE4913,GPL3558,2
GSE18728,GPL570,1
GSE9893,GPL5049,1
GSE21974,GPL6480,1
GSE20181,GPL96,1
GSE33658,GPL570,1
GSE1379,GPL1223,2
GSE21997,GPL5325,2
GSE21997,GPL1390,2
GSE21997,GPL7504,2
"GSE25055,GSE25066",GPL96,1
"GSE25065,GSE25066",GPL96,1
GSE22358,GPL5325,2
GSE17705,GPL96,1
GSE16446,GPL570,1
GSE16391,GPL570,1
GSE19697,GPL570,1
GSE12093,GPL96,1
"GSE16716,GSE20194",GPL96,1
GSE23428,GPL5325,2
GSE19615,GPL570,1
GSE6577,GPL3883,2
